id,name,quantity,unit
1,Café Arábica Molido,15,kg
2,Leche Entera,34,litros
3,Azúcar Blanco,25,kg
4,Cápsulas Espresso,200,unidades
5,Filtros de Papel,500,unidades
6,Jarabe de Vainilla,20,litros
7,Chocolate en Polvo,21,kg
8,Vasos Térmicos 8oz,300,unidades
9,Canela Molida,8,kg
10,Galletas de Mantequilla,125,paquetes
11,Leche de Avena,20,litros
12,Bolsitas de Te,100,unidades
13,tabletas de chocolate negro,10,unidades
14,Leche de Almendras,5,litros
15,Chocolate,8,kg
16,Té Matcha,20,bolsas
